No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1,TLC,MTY,19.3371,-99.566,25.7785,-100.107
2,MTY,TLC,25.7785,-100.107,19.3371,-99.566
3,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
4,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
5,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
6,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
7,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
8,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
9,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
10,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
11,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
12,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
13,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
14,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
15,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
16,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
17,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
18,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
19,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
20,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
21,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
22,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
23,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
24,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
25,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
26,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
27,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
28,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
29,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
30,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
31,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
32,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
33,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
34,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
35,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
36,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
37,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
38,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
39,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
40,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
41,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
42,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
43,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
44,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
45,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
46,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
47,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
48,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
49,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
50,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
51,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
52,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
53,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
54,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
55,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
56,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
57,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
58,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
59,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
60,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
61,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
62,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
63,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
64,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
65,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
66,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
67,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
68,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
69,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
70,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
71,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
72,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
73,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
74,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
75,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
76,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
